"Information","Information"
"Contact","Kontakt"
"Please visit us on <a href='https://github.com/MaWoScha' target='_blank'>GitHub</a> for more language packs.<br /><br />You can contact us via <a href='http://blog.siempro.co' target='_blank'>our website</a> or at <a href='mailto:mawoscha@siempro.co' target='_blank'>mawoscha@siempro.co</a>, if you have any question.","Bitte besuchen Sie uns auf <a href='https://github.com/MaWoScha' target='_blank'>GitHub</a> für mehr Sprachpakete.<br /><br />Bitte treten Sie bei Fragen mit uns in Kontakt über <a href='http://blog.siempro.co' target='_blank'>unsere Webseite</a> oder über <a href='mailto:mawoscha@siempro.co' target='_blank'>mawoscha@siempro.co</a>."
"powered by","bereitgestellt von"
"Installed Language Packs","Installierte Sprachpakete"
"You have installed the following:","Sie haben Folgendes installiert:"
"Instructions","Anleitungen"
"The %s language pack in version %s has been successfully installed.","Das Sprachpaket <span style='color:red'>%s</span> in der Version <span style='color:red'>%s</span> wurde erfolgreich installiert."
"Magento has only one variable available for the locale (<a href='%s'>locale</a>). This extension now provides two settings:","Magento hält nur eine Variable für die Sprachumgebung (<a href='%s'>locale</a>) bereit. Diese Erweiterung stellt nun zwei Einstellmöglichkeiten zur Verfügung:"
"Locale Fallback","Ausweichsprache"
"Locale Preferred","Bevorzugte Sprache"
"Now it is possible to use a preferred language with a fallback language. Thus it can be set as the preferred language a partially available language, the fallback language then takes over the lack of rest.","Jetzt ist es möglich, eine bevorzugte Sprachumgebung mit einer Ausweichsprache nutzen. So kann ein teilweise vorhandenes Sprachpaket als bevorzugte Sprachumgebung eingestellt werden, die Ausweichsprache übernimmt dann den fehlenden Rest."
"You want to sell and make use of the language of your target audience. Magento supports it – at least in theory. Practically, it is then but so that for most languages no language packs are available for Magento. Creating your own custom language pack fails again mostly at the expense: The language files of Magento contain several thousand entries.","Sie möchten verkaufen und dabei die Sprache ihrer Zielgruppe nutzen. Magento unterstützt dies – zumindest theoretisch. Praktisch ist es dann doch so, dass für die meisten Sprachen keine Sprachpakete für Magento angeboten werden. Die Erstellung eines eigenen Sprachpakets scheitert wiederum meist am Aufwand: Die Sprachdateien von Magento enthalten mehrere tausend Einträge."
"However, the complexity is significantly lower when only a limited selection of entries had to be translated and for the rest a fallback language could be defined. That would be also safe in case of updating the Magento software.","Der Aufwand wird allerdings deutlich geringer, wenn nur eine begrenzte Auswahl an Einträgen übersetzt werden müsste und für den Rest eine Ausweichsprache definiert werden könnte. Das wäre dann auch bei Aktualisierungen der Magento-Software sicher."
"The fallback language, which complements the missing entries of their own language pack, can be defined here. First, however, one's own language pack must be installed. The process can be reversed.","Die Ausweichsprache, welche die fehlenden Einträge ihres eigenen Sprachpakets ergänzt, kann hier definiert werden. Zunächst muss aber das eigene Sprachpaket installiert sein. Der Vorgang kann rückgängig gemacht werden."
"This package is simply adding three Static Blocks to the <a href='%s'>E-Mail-Templates</a>:","Diese Erweiterung fügt einfach drei statische Blöcke in die <a href='%s'>E-Mail-Vorlagen</a> ein:"
"Salutation","Anrede"
"Contact information","Daten zur Kontaktaufnahme"
"Closing formula","Schlussformel"
"The static blocks can be managed by the <a href='%s'>CMS system</a> in the admin area.","Die statischen Blöcke können mit dem <a href='%s'>CMS-System</a> im Admin-Bereich bearbeitet werden."
"Translations are differing, values from Locale Fallback will be used.","Die Übersetzungen sind unterschiedlich; die Ausweichsprache wird aktiviert."
"Translations are identical, you can safely switch off the Locale Fallback.","Die Übersetzungen sind identisch, deswegen können Sie die Ausweichsprache ausschalten."
"Extra locales","Zusätzliche Einstellungen"
"Locale list","Sprachumgebungen"
"Fallback list","Ausweichsprachen"
"You can type in here more locales, comma-separated, like ""de_LU,en_IN,en_ZA,es_CU,fr_BE"".","Hier können Sie mehr Sprachumgebungen angeben, Komma separiert, in der Form ""de_LU,en_IN,en_ZA,es_CU,fr_BE""."
"You can type in here more fallback languages, comma-separated, like ""ar,en,ur"".","Hier können Sie mehr Ausweichsprachen angeben, Komma separiert, in der Form ""ar,en,ur""."
"Email Support Template","E-Mail - Vorlage für Kontakte"
