"Information","Informations"
"Contact","Contact"
"Please visit us on <a href='https://github.com/MaWoScha' target='_blank'>GitHub</a> for more language packs.","Se il vous plaît visitez-nous sur <a href='https://github.com/MaWoScha' target='_blank'>GitHub</a> pour plus de packs de langues."
"powered by","alimenté par"
"Installed Language Packs","Packs langues Installé"
"You have installed the following:","Vous avez installé le suivant:"
"Instructions","Instructions"
"The %s language pack in version %s has been successfully installed.","Le pack de langue <span style='color:red'>%s</span> en version <span style='color:red'>%s</span> a été installé avec succès."
"Magento has only one variable available for the locale (<a href='%s'>locale</a>). This extension now provides two settings:","Magento a une seule variable disponible pour la localisation (<a href='%s'>locale</a>). Cette extension fournit maintenant deux paramètres:"
"Locale Fallback","Langue de repli"
"Locale Preferred","Locale privilégiées"
"Now it is possible to use a preferred language with a fallback language. Thus it can be set as the preferred language a partially available language, the fallback language then takes over the lack of rest.","Maintenant, il est possible d'utiliser une langue préférée avec une langue de repli. Ainsi, il peut être défini comme la langue préférée une langue partiellement disponibles, la langue de secours prend ensuite le relais le manque de repos."
"You want to sell and make use of the language of your target audience. Magento supports it – at least in theory. Practically, it is then but so that for most languages no language packs are available for Magento. Creating your own custom language pack fails again mostly at the expense: The language files of Magento contain several thousand entries.","Vous voulez vendre et faire usage de la langue de votre public cible. Magento soutient - au moins en théorie. Pratiquement, il est alors, mais de telle sorte que pour la plupart des langues aucun packs de langues sont disponibles pour Magento. Créer votre propre pack de langue personnalisé échoue à nouveau principalement au détriment: Les fichiers de langue de Magento contiennent plusieurs milliers d'entrées."
"However, the complexity is significantly lower when only a limited selection of entries had to be translated and for the rest a fallback language could be defined. That would be also safe in case of updating the Magento software.","Cependant, la complexité est significativement plus faible lorsque seulement un choix limité d'entrées a dû être traduit et pour le reste une langue de repli pourrait être défini. Ce serait également sans danger en cas de mise à jour du logiciel Magento."
"The fallback language, which complements the missing entries of their own language pack, can be defined here. First, however, one's own language pack must be installed. The process can be reversed.","La langue de repli, qui complète les entrées manquantes de leur propre pack de langue, peut être définie ici. Mais d'abord, sa propre pack de langue doit être installé. Le processus peut être inversé."
"This package is simply adding three Static Blocks to the <a href='%s'>E-Mail-Templates</a>:","Ce paquet est tout simplement en ajoutant trois blocs statiques à l'<a href='%s'>e-mail templates</a>:"
"Salutation","Salutation"
"Contact information","Coordonnées "
"Closing formula","Formule de politesse"
"The static blocks can be managed by the <a href='%s'>CMS system</a> in the admin area.","Les blocs statiques peuvent être gérés par le <a href='%s'>système CMS</a> dans la zone d'administration."
"Translations are differing, values from Locale Fallback will be used.","Les traductions sont différentes, les valeurs de paramètres régionaux de secours seront utilisés."
"Translations are identical, you can safely switch off the Locale Fallback.","Les traductions sont identiques, vous pouvez couper en toute sécurité l'Locale de repli."
"Extra locales","Paramètres régionaux supplémentaires"
"Locale list","Liste locale"
"Fallback list","Liste de repli"
"You can type in here more locales, comma-separated, like ""de_LU,en_IN,en_ZA,es_CU,fr_BE"".","Vous pouvez taper ici plus d'endroits, séparés par des virgules, comme ""de_LU,en_IN,en_ZA,es_CU,fr_BE""."
"You can type in here more fallback languages, comma-separated, like ""ar,en,ur"".","Vous pouvez taper ici langues plus repli, séparés par des virgules, comme ""ar,en,ur""."
"Email Support Template","Email - Modèle pour contacts"
