"Information","Informazioni"
"Contact","Contatto"
"Please visit us on <a href='https://github.com/MaWoScha' target='_blank'>GitHub</a> for more language packs.","Per favore, visitaci su <a href='https://github.com/MaWoScha' target='_blank'>GitHub</a> per vedere altri pacchetti di lingue."
"powered by","fornito da"
"Installed Language Packs","Pacchetti di lingue installati"
"You have installed the following:","Hai installato il seguente:"
"Instructions","Istruzione"
"The %s language pack in version %s has been successfully installed.","Il pacchetto di lingue <span style='color:red'>%s</span> nella versione <span style='color:red'>%s</span> è stato installato correttamente."
"Magento has only one variable available for the locale (<a href='%s'>locale</a>). This extension now provides two settings:","Magento mantiene solo una variabile per la locale (<a href='%s'>locale</a>). Questa estensione offre ora due configurazioni disponibili:"
"Locale Fallback","Seconda opzione linguistica"
"Locale Preferred","Lingua preferita"
"Now it is possible to use a preferred language with a fallback language. Thus it can be set as the preferred language a partially available language, the fallback language then takes over the lack of rest.","Ora è possibile utilizzare un lingua preferita con una seconda opzione linguistica. Così può essere impostato come lingua preferita una lingua parzialmente disponibile, quindi la lingua di riserva riprende il resto mancante."
"You want to sell and make use of the language of your target audience. Magento supports it – at least in theory. Practically, it is then but so that for most languages no language packs are available for Magento. Creating your own custom language pack fails again mostly at the expense: The language files of Magento contain several thousand entries.","Vuole vendere e utilizzare la lingua del suo pubblico di destinazione. Magento supporta questo – almeno in teoria. In pratica, lo è, ma così per la maggior parte delle lingue non sono disponibili pacchetti linguistici per Magento. La creazione di un proprio pacchetto di lingue personalizzato fallisce nuovamente a spese principalmente: i file di lingua Magento contengono diverse migliaia di voci."
"However, the complexity is significantly lower when only a limited selection of entries had to be translated and for the rest a fallback language could be defined. That would be also safe in case of updating the Magento software.","Tuttavia, la complessità è significativamente inferiore quando è necessario tradurre solo una selezione limitata di voci e per il resto è possibile definire una lingua alternativa. Questo sarebbe anche sicuro in caso di aggiornamento del software Magento."
"The fallback language, which complements the missing entries of their own language pack, can be defined here. First, however, one's own language pack must be installed. The process can be reversed.","Qui è possibile definire la lingua di riserva, che integra le voci mancanti del proprio pacchetti di lingue. Innanzitutto, è necessario installare un pacchetti di lingue per account. Il processo può essere invertito."
"This package is simply adding three Static Blocks to the <a href='%s'>E-Mail-Templates</a>:","Questa estensione aggiunge semplicemente tre blocchi statici ai <a href='%s'>modelli di posta elettronica</a>:"
"Salutation","Saluto"
"Contact information","Informazioni di contatto"
"Closing formula","Formula di chiusura"
"The static blocks can be managed by the <a href='%s'>CMS system</a> in the admin area.","I blocchi statici possono essere gestiti dal <a href='%s'>sistema CMS</a> nell'area di amministrazione."
"Translations are differing, values from Locale Fallback will be used.","Le traduzioni sono diverse, verrà utilizzata la seconda opzione linguistica."
"Translations are identical, you can safely switch off the Locale Fallback.","Le traduzioni sono identiche, la seconda opzione linguistica può essere disabilitata."
"Extra locales","Configurazione aggiuntiva"
"Locale list","Impostazioni regionali"
"Fallback list","Seconda opzione linguistica"
"You can type in here more locales, comma-separated, like ""de_LU,en_IN,en_ZA,es_CU,fr_BE"".","Qui puoi inserire più locali, separati da virgole, come ""de_LU,en_IN,en_ZA,es_CU,fr_BE""."
"You can type in here more fallback languages, comma-separated, like ""ar,en,ur"".","Qui puoi inserire più lingua di riserva, separate da virgole, come ad esempio ""ar,en,ur""."
"Email Support Template","Email - Modello per i contatti"
