"Information","Informações"
"Contact","Contato"
"Please visit us on <a href='https://github.com/MaWoScha' target='_blank'>GitHub</a> for more language packs.<br /><br />You can contact us via <a href='http://blog.siempro.co' target='_blank'>our website</a> or at <a href='mailto:mawoscha@siempro.co' target='_blank'>mawoscha@siempro.co</a>, if you have any question.","Por favor, visite-nos no <a href='https://github.com/MaWoScha' target='_blank'>GitHub</a> para mais pacotes de idiomas.<br /><br />Pode contactar-nos através do <a href='http://blog.siempro.co' target='_blank'>nosso site</a> ou pelo <a href='mailto:mawoscha@siempro.co' target='_blank'>mawoscha@siempro.co</a>, se você tem alguma dúvida."
"powered by","distribuído por"
"Installed Language Packs","Pacotes de idiomas instalados"
"You have installed the following:","Você instalou o seguinte:"
"Instructions","Instruções"
"The <span style='color:red'>%s</span> language pack in version <span style='color:red'>%s</span> has been successfully installed.","O pacote de idiomas <span style='color:red'>%s</span> na versão <span style='color:red'>%s</span> foi instalado com sucesso."
"Magento has only one variable available for the locale (<a href='%s'>locale</a>). This extension now provides two settings:","Magento tem apenas uma variável disponível para a localidade (<a href='%s'>locale</a>). Esta extensão agora oferece duas configurações:"
"Locale Fallback","Idioma secundário"
"Locale Preferred","Local Preferido"
"Now it is possible to use a preferred language with a fallback language. Thus it can be set as the preferred language a partially available language, the fallback language then takes over the lack of rest.","Agora é possível usar uma linguagem preferida com uma linguagem fallback. Assim pode ser definido como o idioma preferido uma linguagem parcialmente disponíveis, a língua fallback assume então a falta de descanso."
"You want to sell and make use of the language of your target audience. Magento supports it – at least in theory. Practically, it is then but so that for most languages no language packs are available for Magento. Creating your own custom language pack fails again mostly at the expense: The language files of Magento contain several thousand entries.","Você quer vender e fazer uso da linguagem do seu público-alvo. Magento apoia-lo - pelo menos em teoria. Na prática, é, em seguida, mas de modo que para a maioria das línguas não há pacotes de idiomas estão disponíveis para Magento. Criar o seu próprio pacote de idioma personalizado falhar novamente na sua maioria à custa: Os arquivos de linguagem de Magento conter milhares de entradas."
"However, the complexity is significantly lower when only a limited selection of entries had to be translated and for the rest a fallback language could be defined. That would be also safe in case of updating the Magento software.","No entanto, a complexidade é significativamente menor quando apenas uma selecção limitada de entradas teve de ser traduzido e para o resto um idioma retorno poderia ser definida. Isso seria também seguro em caso de atualização do software Magento."
"The fallback language, which complements the missing entries of their own language pack, can be defined here. First, however, one's own language pack must be installed. The process can be reversed.","A linguagem secundário, que complementa as entradas do seu próprio pacote de idioma em falta, pode ser definida aqui. Antes, porém, de um pacote próprio idioma deve ser instalado. O processo pode ser invertida."
"This package is simply adding three Static Blocks to the <a href='%s'>E-Mail-Templates</a>:","Este pacote é simplesmente adicionando três blocos estáticos para o <a href='%s'>e-mail-templates</a>:"
"Salutation","Saudação"
"Contact information","Informações de contato"
"Closing formula","Fórmula de encerramento"
"The static blocks can be managed by the <a href='%s'>CMS system</a> in the admin area.","Os blocos estáticos pode ser gerenciado pelo <a href='%s'>sistema CMS</a> na área administrativa."
"Translations are differing, values from Locale Fallback will be used.","As traduções são diferentes, os valores da localidade de retorno será usado."
"Translations are identical, you can safely switch off the Locale Fallback.","As traduções são idênticas, você pode alternar com segurança fora da localidade de retorno."
"Extra locales","Locales adicionais"
"Locale list","Lista locale"
"Fallback list","Lista fallback"
"You can type in here more locales, comma-separated, like ""de_LU,en_IN,en_ZA,es_CU,fr_BE,ur_PK"".","Você pode digitar aqui mais localidades, separados por vírgulas, como ""de_LU,en_IN,en_ZA,es_CU,fr_BE,ur_PK""."
"You can type in here more fallback languages, comma-separated, like ""ar,en,ur"".","Você pode digitar aqui línguas mais retorno, separados por vírgulas, como ""ar,en,ur""."
